Neighborhood,Municipality,Year,Age,Gender,StrugglingMakeEnds,ReceivesSupportFromOthers,VolunteerWork,Caregiver,FragileHealthSocialDomain,HighRiskAnxietyDisorderOrDepression,LowResilience,ModerateControlOverMyOwnLife,VeryMuchStressLast4Weeks,SuicideThoughtsLast12Months,GoodExperiencedHealth,MovementImpairment,HearingImpairment,WeeklyExercising,Lonely_25,SeverelyLonely_26,EmotionallyLonely_27,SociallyLonely_28
Groot-IJsselmonde,Rotterdam,2022,55-64,Female,15.2,12.9,34.1,26.2,18.0,10.4,13.2,63.8,19.8,1.7,67.1,19.7,11.8,51.3,60.8,13.2,29.9,33.9
Katendrecht,Rotterdam,2018,18-24,Male,23.0,16.0,22.7,12.7,15.2,18.0,20.7,57.0,29.9,4.9,70.5,8.7,5.6,52.7,62.0,15.2,41.2,40.2
Katendrecht,Rotterdam,2018,18-24,Female,23.7,19.6,20.5,14.7,16.8,19.3,22.5,55.7,30.8,4.7,69.8,9.7,4.9,50.5,62.0,11.4,42.1,41.5
Katendrecht,Rotterdam,2019,18-24,Male,23.6,16.2,22.1,12.1,15.5,17.5,21.4,56.9,29.6,4.8,70.3,8.6,5.1,53.2,62.0,13.0,41.4,39.8
Katendrecht,Rotterdam,2019,18-24,Female,24.1,18.9,20.4,14.9,17.4,19.8,22.4,55.4,30.8,4.9,69.4,9.7,4.7,50.8,62.0,12.3,45.3,41.1
Katendrecht,Rotterdam,2020,18-24,Male,23.4,16.1,22.7,12.5,15.2,18.5,21.5,57.0,29.8,5.0,70.4,9.0,5.1,53.2,62.0,14.5,42.2,40.2
Katendrecht,Rotterdam,2020,18-24,Female,23.6,19.1,20.6,14.1,17.5,19.9,22.6,55.3,30.9,4.9,70.0,10.1,5.5,51.1,62.0,11.8,43.8,39.6
Katendrecht,Rotterdam,2021,18-24,Male,23.6,16.7,22.3,12.5,15.4,18.4,20.6,56.9,29.3,5.2,70.2,8.2,5.3,53.0,62.0,13.7,41.8,39.6
Katendrecht,Rotterdam,2021,18-24,Female,23.7,19.2,20.5,14.8,17.6,19.7,22.7,55.4,31.3,4.6,69.3,10.2,4.6,50.2,62.0,17.5,44.5,39.0
Katendrecht,Rotterdam,2022,18-24,Male,23.5,16.1,22.9,12.1,15.4,18.2,21.2,57.0,29.9,4.6,70.4,8.3,5.5,53.6,62.0,13.2,43.3,39.6
Katendrecht,Rotterdam,2022,18-24,Female,23.7,19.3,19.8,14.2,16.9,19.6,22.3,55.3,31.1,5.1,69.4,10.3,4.9,50.5,62.0,14.9,44.5,40.3
Katendrecht,Rotterdam,2018,25-34,Male,22.3,14.3,23.9,15.4,15.2,15.5,19.0,59.6,28.8,3.7,68.7,10.0,6.9,51.5,62.0,10.5,37.5,41.9
Katendrecht,Rotterdam,2018,25-34,Female,22.8,17.4,22.5,18.1,16.2,18.1,20.1,59.3,29.8,4.2,67.4,11.1,5.4,48.6,62.0,17.2,40.8,41.1
Katendrecht,Rotterdam,2019,25-34,Male,22.0,13.9,24.2,15.9,15.4,16.0,18.9,59.5,28.6,3.6,68.6,10.1,6.9,51.9,62.0,14.7,39.4,41.0
Katendrecht,Rotterdam,2019,25-34,Female,22.8,17.4,22.2,18.7,16.1,17.9,20.4,59.3,30.0,4.6,67.4,11.6,5.6,49.2,62.0,14.2,40.7,39.8
Katendrecht,Rotterdam,2020,25-34,Male,22.4,14.2,23.8,16.1,15.8,16.0,19.5,59.3,28.6,3.8,68.5,10.2,6.3,51.6,62.0,14.2,37.8,41.1
Katendrecht,Rotterdam,2020,25-34,Female,22.5,17.3,22.0,18.5,16.2,18.4,20.1,59.2,29.5,4.6,67.5,11.2,5.4,48.8,62.0,17.2,40.5,41.6
Katendrecht,Rotterdam,2021,25-34,Male,22.1,14.1,24.8,15.5,15.3,16.3,19.2,59.9,28.7,3.7,68.2,10.2,6.0,51.8,62.0,15.6,38.3,41.0
Katendrecht,Rotterdam,2021,25-34,Female,22.7,17.6,22.4,18.4,16.1,18.7,20.1,58.9,29.9,4.7,67.8,11.2,6.2,48.5,62.0,13.6,41.8,39.3
Katendrecht,Rotterdam,2022,25-34,Male,22.3,14.4,24.8,16.0,15.9,15.7,18.9,59.6,28.9,3.4,68.6,10.2,6.2,51.9,62.0,13.2,39.7,41.4
Katendrecht,Rotterdam,2022,25-34,Female,22.9,17.9,21.7,18.7,16.6,18.0,20.5,59.1,29.6,4.3,67.5,10.9,5.8,48.5,62.0,14.8,41.2,40.8
Katendrecht,Rotterdam,2018,35-44,Male,22.2,13.7,26.4,19.2,17.2,15.4,18.5,59.8,27.3,3.0,66.5,13.6,7.8,49.8,59.2,11.9,36.7,38.9
Katendrecht,Rotterdam,2018,35-44,Female,22.4,16.3,25.1,22.7,18.2,16.8,18.9,59.0,28.5,3.1,65.2,14.7,8.1,47.3,62.0,12.5,38.0,37.2
Katendrecht,Rotterdam,2019,35-44,Male,22.2,13.3,26.5,19.1,17.0,15.2,18.8,60.1,27.1,2.8,66.0,12.7,8.2,49.5,59.0,10.3,37.4,38.1
Katendrecht,Rotterdam,2019,35-44,Female,22.3,15.9,24.7,22.1,18.3,16.9,18.8,59.3,28.7,3.0,65.6,14.6,8.5,46.8,62.0,15.3,39.2,38.1
Katendrecht,Rotterdam,2020,35-44,Male,22.2,13.4,27.1,19.6,16.4,15.1,18.0,59.9,27.6,3.0,65.9,13.3,8.1,49.5,61.4,14.1,37.6,37.1
Katendrecht,Rotterdam,2020,35-44,Female,21.6,15.7,24.9,22.2,18.1,17.1,19.1,59.0,28.4,3.3,65.8,14.7,8.2,47.5,62.0,14.1,39.5,38.0
Katendrecht,Rotterdam,2021,35-44,Male,22.3,13.1,27.1,19.6,17.3,15.5,18.0,60.0,27.5,2.8,66.1,13.5,7.8,49.1,62.0,14.9,37.5,39.0
Katendrecht,Rotterdam,2021,35-44,Female,21.9,16.4,24.8,22.3,18.3,17.2,18.5,59.5,28.4,3.1,66.1,14.3,8.7,47.4,62.0,12.1,39.7,40.1
Katendrecht,Rotterdam,2022,35-44,Male,21.4,13.1,26.8,19.7,16.4,14.6,18.5,60.4,27.7,3.4,66.8,13.5,8.2,49.4,58.7,10.8,35.0,36.2
Katendrecht,Rotterdam,2022,35-44,Female,21.8,16.0,24.3,22.2,18.5,17.0,18.9,59.3,28.8,3.1,65.2,14.8,8.8,46.9,62.0,12.7,39.6,38.8
Katendrecht,Rotterdam,2018,45-54,Male,21.6,13.1,28.3,22.3,18.8,13.9,17.2,59.9,24.9,2.8,63.7,18.2,12.1,47.9,62.0,13.5,34.9,37.8
Katendrecht,Rotterdam,2018,45-54,Female,23.4,16.2,25.9,25.3,19.9,15.7,17.9,59.3,26.3,3.3,62.8,19.7,12.3,45.1,62.0,10.6,38.0,39.3
Katendrecht,Rotterdam,2019,45-54,Male,21.9,13.5,28.5,22.7,19.7,13.5,17.2,59.8,25.2,3.2,63.6,17.5,11.7,48.1,62.0,15.8,35.8,39.2
Katendrecht,Rotterdam,2019,45-54,Female,23.6,15.8,25.5,25.4,19.7,15.8,17.7,58.8,26.6,4.1,63.0,20.3,12.2,45.0,62.0,16.7,36.5,39.5
Katendrecht,Rotterdam,2020,45-54,Male,21.4,13.1,29.0,22.5,19.7,14.1,16.6,59.9,24.8,3.6,63.8,18.2,12.1,48.1,62.0,15.0,36.6,38.8
Katendrecht,Rotterdam,2020,45-54,Female,23.7,16.1,25.9,25.0,20.2,15.7,18.2,59.1,26.3,3.8,63.0,20.3,12.3,45.0,62.0,15.9,37.1,37.9
Katendrecht,Rotterdam,2021,45-54,Male,21.7,13.5,28.5,22.5,19.7,14.1,17.3,60.1,24.6,3.5,63.7,17.5,11.6,48.4,62.0,12.4,36.2,39.3
Katendrecht,Rotterdam,2021,45-54,Female,23.2,16.1,25.6,25.5,20.4,15.2,17.9,59.4,26.6,3.1,62.3,19.8,12.2,44.8,62.0,16.5,36.2,39.0
Katendrecht,Rotterdam,2022,45-54,Male,21.6,13.2,28.5,22.4,19.6,13.5,17.1,60.4,25.5,2.8,63.4,18.1,11.6,48.7,62.0,16.7,35.1,38.6
Katendrecht,Rotterdam,2022,45-54,Female,23.1,16.2,25.2,25.5,20.6,15.7,18.3,59.1,27.2,3.8,62.3,20.2,12.5,44.9,62.0,13.0,37.7,38.8
Katendrecht,Rotterdam,2018,55-64,Male,22.1,12.5,29.1,21.3,22.1,12.4,16.8,58.4,22.9,2.5,60.2,23.2,15.4,46.5,62.0,16.8,36.4,39.1
Katendrecht,Rotterdam,2018,55-64,Female,23.0,14.6,27.0,24.0,22.2,14.2,17.7,56.8,24.9,3.1,59.7,24.1,15.4,43.1,62.0,16.9,37.7,38.7
Katendrecht,Rotterdam,2019,55-64,Male,21.4,12.5,29.2,21.1,22.1,12.0,16.0,57.8,23.2,2.8,60.0,22.7,15.9,46.7,62.0,11.7,33.7,38.1
Katendrecht,Rotterdam,2019,55-64,Female,22.7,15.4,27.2,24.1,22.3,14.3,18.0,56.9,25.3,3.6,60.0,24.7,15.4,43.3,62.0,16.3,38.0,36.4
Katendrecht,Rotterdam,2020,55-64,Male,21.3,12.9,28.7,21.2,21.4,12.3,16.1,58.6,22.6,2.9,60.0,22.5,15.9,46.2,62.0,12.0,35.1,38.2
Katendrecht,Rotterdam,2020,55-64,Female,23.2,14.6,27.2,23.9,22.1,14.4,17.2,56.8,24.4,2.8,59.3,24.2,14.5,42.5,62.0,13.0,36.8,36.8
Katendrecht,Rotterdam,2021,55-64,Male,21.2,13.3,28.7,21.9,22.0,12.3,16.0,57.7,22.5,3.1,60.8,22.6,16.1,46.7,62.0,16.2,32.8,37.0
Katendrecht,Rotterdam,2021,55-64,Female,23.4,15.1,27.0,24.4,22.5,14.9,17.8,57.3,24.9,2.8,60.1,24.5,14.5,42.7,62.0,12.6,37.4,37.3
Katendrecht,Rotterdam,2022,55-64,Male,22.0,12.5,29.3,21.9,22.0,12.2,16.7,58.0,23.2,3.0,60.0,22.9,16.2,46.8,62.0,16.9,35.8,39.1
Katendrecht,Rotterdam,2022,55-64,Female,22.8,14.8,26.7,24.8,22.4,14.8,17.6,57.0,24.9,3.0,59.6,24.6,14.7,42.8,62.0,13.7,38.2,39.0
Afrikaanderwijk,Rotterdam,2018,18-24,Male,20.9,14.3,24.6,13.1,12.9,15.9,18.6,59.0,27.6,4.6,73.1,5.4,3.9,56.8,62.0,16.3,39.5,41.5
Afrikaanderwijk,Rotterdam,2018,18-24,Female,20.7,16.4,22.1,15.1,14.4,18.4,19.8,58.2,30.1,4.6,72.4,7.3,3.7,53.1,62.0,10.9,40.5,41.7
Afrikaanderwijk,Rotterdam,2019,18-24,Male,20.1,13.7,24.7,12.9,13.6,15.7,18.9,59.9,28.3,4.3,72.8,5.8,3.6,56.6,62.0,11.5,39.0,40.7
Afrikaanderwijk,Rotterdam,2019,18-24,Female,20.8,16.9,22.8,14.5,14.5,18.5,19.9,58.8,29.5,4.8,72.1,6.7,3.2,53.3,62.0,10.9,40.1,38.8
Afrikaanderwijk,Rotterdam,2020,18-24,Male,20.4,13.9,24.6,12.9,13.2,16.2,18.9,59.3,28.2,5.0,73.1,5.7,3.9,56.2,62.0,15.5,38.6,40.8
Afrikaanderwijk,Rotterdam,2020,18-24,Female,20.5,16.3,21.9,15.5,14.1,18.1,19.2,58.7,29.5,5.2,72.1,6.4,3.9,53.1,62.0,14.4,39.8,42.3
Afrikaanderwijk,Rotterdam,2021,18-24,Male,20.1,13.7,24.9,12.9,13.3,16.2,18.4,59.2,27.9,4.9,72.6,6.0,4.4,56.5,62.0,12.4,39.7,41.6
Afrikaanderwijk,Rotterdam,2021,18-24,Female,20.9,17.1,22.5,14.5,14.8,18.0,19.6,58.5,29.5,4.7,72.6,7.4,3.6,53.4,62.0,16.7,39.6,41.3
Afrikaanderwijk,Rotterdam,2022,18-24,Male,20.3,14.3,25.3,12.7,13.5,15.6,19.1,59.3,28.0,4.2,72.9,5.6,4.5,56.2,62.0,11.7,37.5,39.8
Afrikaanderwijk,Rotterdam,2022,18-24,Female,21.0,16.9,22.8,14.6,14.7,18.7,19.9,58.7,30.0,5.3,72.7,6.8,3.6,53.5,62.0,16.6,40.4,41.0
Afrikaanderwijk,Rotterdam,2018,25-34,Male,19.7,13.3,27.6,16.2,12.5,14.3,16.6,61.8,26.4,4.0,71.6,7.3,3.4,54.0,61.8,13.3,34.5,37.7
Afrikaanderwijk,Rotterdam,2018,25-34,Female,21.3,15.8,25.5,18.5,14.2,16.3,18.4,60.3,28.4,3.4,71.0,8.3,3.4,51.2,62.0,13.9,39.0,38.3
Afrikaanderwijk,Rotterdam,2019,25-34,Male,19.5,13.2,27.6,15.3,13.2,14.6,17.2,61.2,26.1,3.6,71.7,6.9,4.1,53.6,59.4,13.6,35.7,36.1
Afrikaanderwijk,Rotterdam,2019,25-34,Female,21.4,15.2,25.5,18.3,13.4,16.3,18.6,60.6,28.2,3.6,71.0,8.4,3.7,50.9,62.0,14.9,37.8,37.9
Afrikaanderwijk,Rotterdam,2020,25-34,Male,20.0,12.6,27.3,16.1,12.6,14.5,16.7,61.7,26.7,3.9,71.8,7.2,3.8,54.1,60.3,14.4,35.9,39.5
Afrikaanderwijk,Rotterdam,2020,25-34,Female,20.9,15.7,25.0,18.3,14.0,16.4,18.5,60.2,27.6,3.6,71.1,8.8,3.8,51.5,62.0,17.3,38.6,39.3
Afrikaanderwijk,Rotterdam,2021,25-34,Male,19.6,13.0,27.4,16.1,12.8,14.0,16.5,61.3,26.5,3.7,71.0,7.5,3.4,53.6,59.7,15.8,35.8,38.1
Afrikaanderwijk,Rotterdam,2021,25-34,Female,21.5,15.2,25.2,18.8,13.5,16.0,18.4,60.3,28.1,3.6,70.8,8.4,3.3,51.3,62.0,14.0,38.3,38.5
Afrikaanderwijk,Rotterdam,2022,25-34,Male,19.6,12.9,27.2,15.6,13.1,14.5,16.7,61.6,26.2,3.4,71.1,7.1,3.8,54.0,60.2,13.1,35.2,38.4
Afrikaanderwijk,Rotterdam,2022,25-34,Female,21.8,15.0,25.3,18.2,13.6,15.9,18.5,60.3,27.8,3.7,70.4,8.8,3.9,51.4,62.0,15.9,38.9,40.7
Afrikaanderwijk,Rotterdam,2018,35-44,Male,19.3,11.2,30.6,19.6,14.3,12.9,16.4,62.7,24.8,3.0,69.1,10.7,6.6,52.8,54.9,12.6,31.5,32.1
Afrikaanderwijk,Rotterdam,2018,35-44,Female,18.6,14.1,27.5,21.8,16.1,15.5,16.9,61.9,25.6,3.7,68.0,12.3,6.5,49.8,61.9,15.3,37.9,36.8
Afrikaanderwijk,Rotterdam,2019,35-44,Male,18.7,12.0,30.7,19.4,14.6,12.9,16.1,63.6,24.9,3.5,69.4,10.5,6.2,53.1,54.1,15.4,30.0,31.1
Afrikaanderwijk,Rotterdam,2019,35-44,Female,19.1,13.4,27.8,22.3,15.9,15.0,17.6,62.2,25.7,2.9,67.9,12.1,6.4,49.9,60.6,14.4,35.8,37.5
Afrikaanderwijk,Rotterdam,2020,35-44,Male,19.1,11.9,29.7,20.1,14.6,12.4,15.6,62.6,25.2,3.6,69.2,10.8,6.3,53.0,55.2,9.7,31.7,35.0
Afrikaanderwijk,Rotterdam,2020,35-44,Female,18.6,14.1,28.3,22.1,15.8,15.0,17.4,61.2,26.5,3.6,68.4,12.0,5.8,49.3,59.0,11.9,36.4,35.9
Afrikaanderwijk,Rotterdam,2021,35-44,Male,18.8,12.1,30.2,19.5,15.2,13.0,15.8,63.0,25.1,3.5,68.9,10.8,6.5,53.2,57.8,12.8,31.6,36.2
Afrikaanderwijk,Rotterdam,2021,35-44,Female,18.5,13.6,28.3,22.3,16.2,15.2,17.6,61.3,26.0,3.7,67.6,11.8,6.3,49.7,61.5,12.5,38.5,37.9
Afrikaanderwijk,Rotterdam,2022,35-44,Male,19.0,12.0,30.5,19.6,14.7,13.0,15.9,62.9,25.1,3.5,68.8,11.3,6.6,52.8,56.2,15.5,32.3,32.7
Afrikaanderwijk,Rotterdam,2022,35-44,Female,18.6,14.0,27.7,21.9,15.5,15.4,17.0,61.5,26.2,3.3,67.8,12.0,6.5,49.2,60.2,11.8,34.9,36.3
Afrikaanderwijk,Rotterdam,2018,45-54,Male,18.0,11.9,31.5,23.4,16.6,11.3,14.9,62.3,23.1,3.2,66.5,15.5,10.6,51.6,58.8,11.6,31.9,34.6
Afrikaanderwijk,Rotterdam,2018,45-54,Female,18.9,13.7,29.8,25.6,17.9,12.9,16.0,60.8,25.1,2.6,65.6,16.5,10.8,48.3,61.0,11.6,35.4,35.7
Afrikaanderwijk,Rotterdam,2019,45-54,Male,18.5,11.9,32.2,22.8,17.1,11.9,14.8,62.4,23.1,3.2,66.7,14.7,10.1,51.2,56.4,12.5,29.5,33.1
Afrikaanderwijk,Rotterdam,2019,45-54,Female,18.6,13.4,29.4,25.8,17.6,13.0,17.0,61.0,25.3,3.3,65.0,16.0,10.2,48.2,62.0,14.1,34.4,38.7
Afrikaanderwijk,Rotterdam,2020,45-54,Male,18.0,11.6,31.4,23.1,17.0,11.9,15.1,61.6,22.6,2.9,66.9,15.3,10.4,51.5,56.7,12.7,30.2,34.0
Afrikaanderwijk,Rotterdam,2020,45-54,Female,19.2,14.0,29.9,25.7,18.4,13.8,16.8,61.2,24.7,3.0,65.3,15.9,11.0,48.1,62.0,17.2,35.6,36.7
Afrikaanderwijk,Rotterdam,2021,45-54,Male,18.7,11.6,32.0,22.6,16.3,11.2,15.1,62.0,22.6,2.9,66.0,15.0,11.0,51.0,57.2,14.0,30.8,34.7
Afrikaanderwijk,Rotterdam,2021,45-54,Female,19.2,14.2,29.4,25.1,17.7,13.8,16.7,60.9,24.7,3.4,64.8,16.7,10.2,48.4,62.0,16.7,35.8,35.4
Afrikaanderwijk,Rotterdam,2022,45-54,Male,18.7,11.9,31.3,22.6,16.4,12.0,15.4,61.9,22.7,2.9,66.0,15.2,10.4,51.2,57.4,15.3,30.9,34.2
Afrikaanderwijk,Rotterdam,2022,45-54,Female,18.7,13.6,29.9,25.7,17.8,13.7,16.6,60.5,24.8,2.8,65.6,15.8,10.5,48.2,61.5,16.2,36.8,36.3
Afrikaanderwijk,Rotterdam,2018,55-64,Male,18.4,11.4,31.3,22.6,20.3,10.5,14.4,60.9,20.3,1.6,64.1,20.1,14.0,49.1,62.0,12.5,31.2,38.1
Afrikaanderwijk,Rotterdam,2018,55-64,Female,20.3,13.4,28.4,25.3,21.0,12.2,15.9,59.4,22.6,3.1,62.1,21.9,13.2,46.4,62.0,12.9,34.4,38.4
Afrikaanderwijk,Rotterdam,2019,55-64,Male,18.5,10.9,31.4,21.9,20.1,10.8,14.8,61.4,21.1,2.2,63.8,20.6,14.1,49.1,62.0,12.0,32.1,38.1
Afrikaanderwijk,Rotterdam,2019,55-64,Female,19.8,13.0,29.3,24.6,21.3,12.2,15.5,59.9,22.4,2.3,61.6,21.7,13.3,46.1,62.0,14.9,35.1,37.1
Afrikaanderwijk,Rotterdam,2020,55-64,Male,18.2,11.7,31.1,22.0,20.1,10.3,14.8,61.4,20.5,1.5,64.1,20.6,13.7,49.7,60.1,13.0,32.5,35.1
Afrikaanderwijk,Rotterdam,2020,55-64,Female,20.5,13.3,28.5,25.2,20.9,12.5,15.6,59.5,22.7,3.1,62.1,21.3,13.0,46.1,62.0,13.6,33.7,39.4
Afrikaanderwijk,Rotterdam,2021,55-64,Male,18.4,10.9,31.5,22.5,19.8,10.9,14.3,61.0,21.3,2.4,64.1,19.9,13.8,49.4,62.0,12.0,31.7,38.7
Afrikaanderwijk,Rotterdam,2021,55-64,Female,19.7,13.3,29.0,25.5,20.7,12.7,15.2,59.5,22.2,2.5,62.1,21.3,13.4,46.8,62.0,13.0,34.7,37.6
Afrikaanderwijk,Rotterdam,2022,55-64,Male,18.7,11.7,31.4,22.3,20.3,11.0,14.5,61.2,20.8,1.6,63.6,20.1,13.5,48.9,61.0,15.8,32.1,35.1
Afrikaanderwijk,Rotterdam,2022,55-64,Female,19.9,13.7,28.9,24.7,20.8,12.5,16.0,59.2,22.8,2.7,61.9,21.5,12.6,46.7,62.0,11.9,34.6,38.3
Kop van Zuid,Rotterdam,2018,18-24,Male,21.3,14.6,25.3,12.8,13.7,16.3,18.5,59.8,27.1,4.8,73.1,5.5,4.7,56.8,62.0,15.8,39.8,39.2
Kop van Zuid,Rotterdam,2018,18-24,Female,21.2,17.0,22.4,15.0,15.3,17.6,19.4,58.1,28.7,5.1,71.6,7.3,4.3,53.6,62.0,14.9,41.8,41.5
Kop van Zuid,Rotterdam,2019,18-24,Male,21.3,14.5,25.3,12.7,14.2,15.9,19.1,59.0,27.8,4.5,73.8,5.8,4.8,56.7,62.0,12.9,38.1,39.4
Kop van Zuid,Rotterdam,2019,18-24,Female,21.9,17.3,22.8,15.0,15.3,17.3,19.6,58.7,28.3,5.2,71.6,7.4,4.7,53.1,62.0,12.4,41.4,38.8
Kop van Zuid,Rotterdam,2020,18-24,Male,21.4,15.2,25.6,12.5,14.3,15.8,19.0,59.2,27.1,5.1,73.5,5.6,4.7,57.0,62.0,11.9,38.4,38.4
Kop van Zuid,Rotterdam,2020,18-24,Female,21.1,17.1,23.0,14.1,14.7,17.3,19.3,58.4,28.1,4.6,71.7,7.7,4.7,54.0,62.0,12.1,41.5,38.3
Kop van Zuid,Rotterdam,2021,18-24,Male,21.1,15.3,24.9,12.9,13.9,15.7,18.7,59.5,27.8,4.4,73.3,5.6,4.7,56.8,62.0,16.4,39.3,38.5
Kop van Zuid,Rotterdam,2021,18-24,Female,21.9,16.9,23.3,14.6,15.4,17.7,18.8,58.4,28.8,5.1,72.4,7.8,4.2,53.3,62.0,13.3,40.0,38.4
Kop van Zuid,Rotterdam,2022,18-24,Male,21.6,14.5,24.9,12.0,14.3,15.8,18.2,59.7,27.1,4.5,73.4,5.9,4.2,56.7,62.0,16.4,37.8,39.2
Kop van Zuid,Rotterdam,2022,18-24,Female,21.8,17.2,23.2,14.8,15.3,17.8,18.8,58.3,28.9,4.9,72.0,7.9,4.3,53.9,62.0,14.2,40.1,39.0
Kop van Zuid,Rotterdam,2018,25-34,Male,20.1,13.9,27.7,15.7,13.1,14.3,17.1,62.3,27.3,3.2,70.9,8.0,4.1,54.6,62.0,14.9,37.2,38.3
Kop van Zuid,Rotterdam,2018,25-34,Female,21.0,15.9,24.9,18.4,14.5,16.9,18.6,61.6,28.7,3.5,69.9,10.2,4.1,52.1,62.0,17.4,40.7,40.4
Kop van Zuid,Rotterdam,2019,25-34,Male,19.8,13.5,27.1,15.9,13.6,14.6,17.0,62.3,27.2,3.0,71.5,8.6,4.6,54.6,59.3,17.1,35.1,38.4
Kop van Zuid,Rotterdam,2019,25-34,Female,21.7,16.7,24.5,18.2,14.2,17.1,18.2,61.6,27.9,3.6,70.0,9.8,4.3,52.1,62.0,17.9,39.0,37.5
Kop van Zuid,Rotterdam,2020,25-34,Male,20.3,13.0,27.1,16.0,12.7,14.8,17.5,61.8,27.5,3.6,71.3,8.1,4.1,54.3,60.5,16.0,34.7,37.0
Kop van Zuid,Rotterdam,2020,25-34,Female,21.7,16.2,24.3,18.5,14.6,16.7,18.7,60.8,28.2,3.5,70.4,9.7,4.2,52.0,62.0,13.8,40.7,39.1
Kop van Zuid,Rotterdam,2021,25-34,Male,19.8,13.1,27.0,15.8,13.4,14.8,17.4,61.9,26.9,2.8,70.9,8.3,3.9,54.9,61.1,14.0,35.8,39.5
Kop van Zuid,Rotterdam,2021,25-34,Female,21.7,15.8,25.1,18.9,14.0,17.1,18.7,60.9,27.9,3.5,70.2,9.6,4.2,52.2,62.0,15.3,38.7,38.6
Kop van Zuid,Rotterdam,2022,25-34,Male,20.5,13.5,27.8,16.3,13.4,14.9,17.4,61.8,27.1,3.1,70.9,8.1,4.2,54.4,59.9,12.7,34.7,35.7
Kop van Zuid,Rotterdam,2022,25-34,Female,21.1,16.7,24.3,18.0,14.7,17.0,18.7,60.8,28.6,3.2,70.3,9.4,4.3,51.9,62.0,16.1,39.1,39.1
Kop van Zuid,Rotterdam,2018,35-44,Male,20.2,11.7,30.5,19.6,14.6,12.3,16.9,63.1,24.9,2.7,68.7,10.7,6.1,52.3,54.9,13.7,31.6,31.8
Kop van Zuid,Rotterdam,2018,35-44,Female,20.6,14.7,28.1,21.8,15.0,13.7,17.5,61.6,26.5,3.0,67.9,11.8,6.5,50.2,60.3,13.7,35.2,36.1
Kop van Zuid,Rotterdam,2019,35-44,Male,20.1,11.7,30.9,20.2,14.5,12.3,16.8,63.0,25.5,3.2,68.9,10.2,6.1,52.5,56.8,13.1,31.9,35.2
Kop van Zuid,Rotterdam,2019,35-44,Female,20.3,14.8,28.6,22.1,15.8,13.7,17.8,62.3,26.5,2.9,67.7,11.7,6.8,50.1,58.7,15.1,35.6,36.1
Kop van Zuid,Rotterdam,2020,35-44,Male,19.5,11.7,30.3,19.7,14.3,12.8,16.1,62.3,25.8,2.8,69.3,10.6,6.0,51.9,57.7,9.9,33.6,36.5
Kop van Zuid,Rotterdam,2020,35-44,Female,20.2,14.7,28.3,22.8,15.5,14.2,17.9,62.2,26.4,3.2,68.3,11.8,6.9,49.8,58.0,12.5,35.4,36.3
Kop van Zuid,Rotterdam,2021,35-44,Male,19.3,12.1,30.8,19.8,14.2,12.8,16.4,62.7,24.8,2.5,69.4,10.5,6.9,52.4,57.3,16.5,33.0,32.9
Kop van Zuid,Rotterdam,2021,35-44,Female,19.9,14.5,28.5,22.7,15.1,13.6,17.7,61.7,26.0,2.8,67.8,12.0,6.5,50.0,59.5,11.2,35.8,36.4
Kop van Zuid,Rotterdam,2022,35-44,Male,19.9,12.3,30.5,19.8,14.5,12.1,16.4,62.7,25.6,2.6,69.2,10.7,6.1,52.2,55.7,14.6,29.8,33.9
Kop van Zuid,Rotterdam,2022,35-44,Female,20.1,14.7,28.2,22.6,15.3,13.7,17.6,61.6,26.7,3.2,68.3,12.3,6.2,49.4,57.9,15.9,35.0,35.2
Kop van Zuid,Rotterdam,2018,45-54,Male,18.9,11.3,31.9,23.2,17.7,11.8,15.8,63.0,23.1,2.8,66.6,15.4,9.9,50.6,58.8,15.3,33.1,35.5
Kop van Zuid,Rotterdam,2018,45-54,Female,19.7,14.9,29.2,25.2,18.7,13.9,17.2,61.7,24.9,2.9,66.0,17.3,10.3,47.9,61.1,13.6,35.0,34.6
Kop van Zuid,Rotterdam,2019,45-54,Male,18.2,11.3,31.5,23.7,17.2,12.1,15.2,62.8,23.5,2.5,66.1,15.4,9.9,51.3,58.9,12.7,30.5,36.0
Kop van Zuid,Rotterdam,2019,45-54,Female,20.6,14.1,29.3,25.4,18.7,13.5,17.1,62.3,24.5,3.8,65.5,16.9,10.0,48.3,62.0,11.9,35.5,38.0
Kop van Zuid,Rotterdam,2020,45-54,Male,18.3,11.6,31.5,22.9,17.2,12.2,16.0,62.8,22.6,3.1,66.5,15.6,10.2,51.1,60.0,14.1,33.4,36.0
Kop van Zuid,Rotterdam,2020,45-54,Female,19.7,14.6,29.2,25.4,19.0,13.9,16.7,61.9,24.6,3.6,65.1,17.4,10.2,48.6,62.0,13.5,35.2,37.1
Kop van Zuid,Rotterdam,2021,45-54,Male,18.6,11.3,31.7,23.7,18.0,11.7,15.8,63.0,22.7,2.9,66.1,16.1,10.3,51.0,58.3,13.4,31.8,35.7
Kop van Zuid,Rotterdam,2021,45-54,Female,20.4,14.0,29.5,26.0,18.9,13.7,17.0,62.5,24.8,3.2,65.3,17.0,10.7,48.1,61.4,15.9,35.6,37.8
Kop van Zuid,Rotterdam,2022,45-54,Male,18.8,11.2,32.0,22.9,17.4,11.8,15.8,63.0,22.6,3.1,66.8,15.6,10.2,51.2,56.4,14.7,31.7,34.8
